Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.983253002,3.085595,1.262676,-0.1762206,0.9911633,-0.01650984,0.1226401,-44.09571,-20.18478,8.003683,957.0859
1.993107796,4.82484,0.310533,0.3755064,0.9945163,-0.00282952,0.1294166,-44.09571,-20.18478,8.003683,957.0859
2.002962112,5.818695,-0.1655384,0.7433244,0.9980131,0.006986024,0.1433463,-44.09571,-20.18478,8.003683,957.0859
2.012816906,5.756579,-0.1655384,0.06899142,1.003863,0.01630866,0.1500504,-44.09571,-20.18478,8.003683,957.0864
2.022671223,5.383883,0.1915152,-0.7892506,1.00873,0.008533031,0.1412899,-43.34825,-20.19342,7.99982,957.0864
2.034989834,5.321767,0.7270955,-1.463584,1.008189,-0.00417987,0.1263351,-43.34825,-20.19342,7.99982,957.0864
2.044844627,5.321767,0.6080777,-1.58619,1.005604,-0.006194124,0.114375,-43.34825,-20.19342,7.99982,957.0864
2.054699421,5.570231,0.1915152,-1.157069,1.001305,-0.006691591,0.12162,-43.34825,-20.19342,7.99982,957.0887
2.064553738,6.005043,-0.4630831,-0.6666446,1.008995,0.007008902,0.1235428,-43.34825,-20.19342,7.99982,957.0887
2.074409008,6.191391,-0.4630831,-0.7279475,1.015913,0.006601152,0.1282328,-44.09772,-19.81664,7.999913,957.0887
2.084263802,7.061013,-0.1060295,-0.6666446,1.015502,0.002225069,0.1301185,-44.09772,-19.81664,7.999913,957.0887
2.094118118,8.054868,0.4295509,-0.8505535,1.011124,-0.003665608,0.1267768,-44.09772,-19.81664,7.999913,957.0892
2.103972912,9.297187,0.370042,-0.9731596,1.003233,-0.004241482,0.1216132,-44.09772,-19.81664,7.999913,957.0892
2.113827705,9.731997,-0.3440652,-1.157069,0.9978517,-0.0008716424,0.1245935,-44.09772,-19.81664,7.999913,957.0892
2.123682022,9.172955,-1.17719,-0.7279475,0.9959229,0.008883554,0.1352457,-43.71922,-20.18376,8.385835,957.0892
2.133536816,7.123129,-1.831789,0.1302944,1.008488,0.02555213,0.1385617,-43.71922,-20.18376,8.385835,957.088
2.143392086,5.011188,-1.77228,0.5594154,1.0109,0.03337562,0.1429062,-43.71922,-20.18376,8.385835,957.088
2.153246403,3.396174,-1.117681,1.295051,1.018318,0.03151058,0.1470975,-43.71922,-20.18376,8.385835,957.088
